city,district,district1,district2,name,area,month,day,price,floor,built,road_name
서울특별시 송파구 잠실동,320,0320,0000,우성4차,81.14,200604,14,"47,500",3,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,81.14,200604,15,"43,000",2,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200604,15,"61,700",13,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200604,22,"65,000",9,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,115.83,200604,22,"83,100",8,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200604,26,"63,000",14,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,115.83,200606,14,"74,000",11,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200606,18,"64,750",11,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,115.83,200606,19,"82,800",6,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,115.83,200606,30,"72,500",5,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,81.14,200607,28,"50,500",9,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200608,22,"65,000",13,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,81.14,200609,10,"49,000",12,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,81.14,200609,11,"49,000",12,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200609,15,"58,000",1,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200609,16,"62,300",3,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,115.83,200609,17,"81,300",14,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,81.14,200609,18,"47,000",15,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,115.83,200609,21,"80,000",13,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,115.83,200609,22,"77,000",5,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200609,23,"67,700",13,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200609,24,"63,000",3,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,115.83,200609,28,"76,000",4,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200610,14,"64,000",15,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,81.14,200610,16,"48,000",6,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200610,17,"62,000",1,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200610,18,"66,000",15,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,115.83,200610,21,"85,000",7,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,81.14,200610,21,"51,800",12,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,81.14,200610,22,"49,900",13,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,115.83,200610,27,"84,000",8,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200610,27,"69,500",4,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200610,30,"68,000",2,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,115.83,200610,31,"80,000",12,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,81.14,200611,1,"49,000",2,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200611,16,"75,000",13,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200611,16,"65,000",6,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,115.83,200611,16,"88,000",2,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200611,17,"70,300",5,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200611,26,"66,000",1,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200612,2,"74,000",15,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,115.83,200612,2,"79,000",15,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,81.14,200612,4,"58,800",6,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,81.14,200612,8,"56,000",5,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200612,19,"73,000",9,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200612,26,"75,000",7,1983,백제고분로18길 30
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200601,6,"70,000",1,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.35,200601,15,"50,500",5,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200601,16,"70,900",1,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.78,200601,19,"47,000",1,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200601,23,"73,500",10,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200601,23,"72,800",11,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.39,200601,23,"48,800",12,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200601,24,"71,000",3,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,82.06,200601,25,"53,000",7,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200601,25,"75,000",4,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.76,200601,25,"50,500",1,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200601,27,"72,000",1,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.04,200602,1,"72,000",3,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200602,2,"78,000",5,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,82.06,200602,6,"51,000",3,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200602,6,"77,000",10,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,82.06,200602,7,"52,000",5,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.35,200602,13,"52,500",7,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200602,17,"74,300",4,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200602,20,"77,800",3,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.35,200602,22,"53,000",11,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.35,200602,22,"51,800",4,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.39,200602,23,"56,000",9,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200602,25,"70,500",1,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,160.74,200602,28,"145,000",11,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200602,28,"77,300",9,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.35,200603,1,"53,000",2,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,131.08,200603,3,"117,500",9,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.35,200603,7,"55,500",11,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200603,8,"68,000",2,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,131.08,200603,8,"112,000",11,1981,올림픽로4길 42
